abaspa tuktun.	flor de haba.
Imapaqpas sumaq kaq, ima munaypaqpas kamaqlla.	Lo que es adecuado para cualquier cosa, lo idóneo para cualquier necesidad.
Papanchikqa allinmi kachkan kanan wataqa.	Nuestras papas están bien este año.
Kuchikunata qatirqusaq urquman.	Llevaré los cerdos a la colina.
Allinchatañam yachachkani runasimitaqa.	Ya sé más o menos bien el quechua.
Tayta Manuel allin runam.	El señor Manuel es buena persona.
Chay quraqa allinmi uhupaq.	Esa hierba es buena para la tos.
Sumaqlla kawsakuy.	Vivir sano.
Allillamanta puriy, ama kallpaychu.	Anda despacio, no corras.
Mana allinmi kachkani, umay nanawachkan, rupapakuchkani.	No estoy bien, me duele la cabeza, tengo fiebre.
Mamayqa unqusqam kachkan huk killaña.	Mi madre está enferma ya por un mes.
Manuel, unayña mana tupanchikchu, ¿allinllachu?	Manuel, hace tiempo que no te veo, ¿cómo estás?
Hawkam kawsakuni kay llaqtap.	Vivo tranquilo en este pueblo.
Qamña allinlla.	que te vaya bien.
Qamña allinlla, paqarinkama.	Que te vaya bien, hasta mañana.
Urpitukunaqa allpapim yachanku, wayrapipas pawankutaqmi.	Las aves viven en la tierra y también vuelan en el aire.
Allpanchikpa muyuriqnintam killa kuyun.	La luna gira alrededor de la tierra.
Allpam yaykurquwan ñawiyman, anchatam rawrawachkan.	Me entró polvo al ojo, me está ardiendo mucho.
Sumaq sapsa allpawanmi qataykuna muhutaqa sumaqlla ikllimunanpaq.	Las semillas se deben cubrir con tierra suave de buena calidad para que germinen bien.
Allqa wakaymi chinkarqun, ¿manachu kay-kaypi qawapullawarqankichik?	Mi vaca de color blanco y negro ha desaparecido, ¿no la han visto, por favor?
Tukuy rikchaq maman llimpim akchipi kan.	Todos los colores básicos existen en la luz.
Allqukunaqa ancha sumaq wasi qawaq, yachaq masin runakunapa llapa iman qawaqmi.	Los perros son magníficos vigilantes de las casas, guardianes de todas las pertenencias de las personas con quienes viven.
Punkuykita puriptiy, allquchaykiwan chuschuchiwanki (taki).	Me asustas con tu perrito cuando paso por tu puerta (canción).
Ama chayta niwaychu.	No me digas eso.
Ama allquta maqaychikchu.	No castiguen al perro.
Ama kachusunaykipaq, tantata qunki allquman.	Para que no te muerda le darás un pedazo de pan al perro.
Amapas richwanchu karqa.	Ojalá no hubiéramos ido.
Amapas risaqchu.	Mejor no voy.
Churíy, ama hina kaspayki, haywaykamuway waqtaykipi kaq qatata.	Hijo, por favor, pásame la frazada que está a tu costado.
Ama hina kaspaykichik, suchuriychik.	Por favor, retírense.
Amaláy uma nanayniy samarqullawanman.	Ojalá que cese mi dolor de cabeza.
Ancha riqsisqa, kuyakuq runa masiyki.	Persona muy bien conocida, que te aprecia.
José warma kasqaymanta amiguymi.	José es amigo mío desde que fui un niño.
¡Ananalláw, chakiyta muqarquni!	¡Ay, me disloqué el pie!
Hina kaqmanta aswanaswanraq.	En mayor grado de lo normal.
Huk ancha hatun sacham wichiykusqa.	Se ha caído un árbol muy grande.
Anchachuch unqurqusaq, hukmanyasqam kachkani.	A lo mejor me enfermo, me siento raro.
Ankusapatam aychata rantirqamusqani, manachá kachuyta atisaqchu.	No me di cuenta de que compré carne con mucho tendón, seguro que no la podré masticar.
Kichasqa hanaq pachapa llimpin hina llimpi.	Del color del cielo despejado.
Manam anqas kuchikunaqa kanchu.	No existen cerdos azules.
Kuchita watarqamuy wak sacha sikinpi.	Amarra al cerdo debajo de aquel árbol.
Ramuncha, yakuta aparqamuy wallpanchikkunapaq.	Ramuncha, trae agua para nuestras gallinas.
Manaku, pukllakunaymi.	No quiero, tengo que jugar.
Allquchayqa musyachallañam, imatapas tuta uyarirquspanqa anyanpunim; allintam wasiyta qawan.	Mi perrito es muy alerta, si escucha cualquier bulla de noche, inmediatamente ladra; cuida bien mi casa.
Mana allinta llamkaptinmi wak runaqa churinta anyachkan.	Ese hombre está resondrando a su hijo porque no trabajó bien.
Mana chaychalla yanapaykuptiymi wak warmiqa anyakachayta qallariwan.	Porque no le ayudé en el instante esa mujer me empezó a insultar.
¡Añallaw!, qamllaqa tukuy tutas tusukusqanki Maryapa punchawninpi.	¡Qué bien!, quién como tú, dicen que bailaste toda la noche en el cumpleaños de María.
Patachiykiqa sumaqllañam kachkasqa, ¡añallaw!.	Tu patachi estaba muy bueno, ¡qué magnífico!.
¡Añallaw!, miskim kasqa apiykiqa.	¡Qué rico!, tu mazamorra está deliciosa.
Añaspa asnaq yakunqa karukarukamam musyakun.	La orina del zorrino puede ser sentido a grandes distancias.
¿Imatataq apamusaq yanukunanchikpaq?	¿Qué traeré para cocinar?
Pusamusaq churiyta runasimi yachananpaq.	Traeré a mi hijo para que aprenda quechua.
Suchuchisaq chay rumita ama mitkananchikpaq.	Retiraré esa piedra para que no nos tropecemos.
Apasaq chuqlluta plasaman.	Llevaré choclos al mercado.
Wawanta apachkan yachay wasiman.	Está llevando a su hija a la escuela.
¿Imatataq chay aptachkanki? Qawachiway.	¿Qué tienes en la mano? Muéstrame.
Aptarikuy kay qullqita llamkaqman paganaykipaq.	Lleva este dinero para que pagues al trabajador.
Aptaykuy kay sarata wallpakunaman.	Dales puñados de maíz a las gallinas.
Aptaykuy llamkaq runakunaman kukata.	Distribuye puñados de coca a los trabajadores.
Tayta Husiyqa iskay wasiyuq, achka chakrayuqmi, apum payqa.	El señor José tiene dos casas y muchas chacras, es rico.
Aqa upyayqa manan tragu upyay hina unquchikuqchu.	Beber chicha no es dañino como beber alcohol.
Wakapa aqallinta rantirqamuy, chunchulninta, kipchanninta, sunqunta.	Compra los interiores de vaca, los intestinos, hígado, corazón.
Maniymanta aqakuchkanku, miskillataña qapamuchkan.	Están preparando chicha de maní, despide un olor muy agradable.
Atatalláw, kay mikunaqa aqarqusqa.	Qué feo, esta comida está avinagrada.
Lluqllam kayninta pawarqa, chaymi kay pampaqa aqupa pampasqan.	Por aquí corrió un torrente, por eso este lugar está cubierto de arena.
Mama Leocadia yanupuwarqa miski chupichata, araq papayuqta.	La señora Leocadia cocinó para mí una rica sopa con papas.
Piruwqa manam Arhintinawan tupanchu.	El Perú no colinda con la Argentina.
¿Rinkichu huñunakuyman?	¿Irás a la reunión?
Arí, risaqmi.	Sí, iré.
!Anrillayqa!, kuchiman qaranaymi karqa, qunqarqullasqani.	Oh, debí haber dado de comer al cerdo, se me olvidó.
Chili suyu hanayninpi suyu.	Un departamento del norte de Chile.
Yakuwan, taqsanawan ima, tukuy wirpuyki mayllakuy.	Limpiarse todo el cuerpo con agua y jabón.
Huk tutas puñustin puriq runa mayuman yaykurquspa armakuchkasqa hinaptinsi warmin rikcharirqachiptin mayu aparqusqa (Huk willakuy).	Dicen que una noche un sonámbulo entró a un río y se estaba bañando, su esposa lo despertó y el río se lo llevó (el hombre se ahogó) (Un cuento).
Mikunapaqqa makinchiktam puntata mayllakuna.	Para comer uno debe lavarse primero las manos.
Upakuy.	Lavarse la cara.
Asunta sapa punchawmi armachin wawanta.	Asunta baña a su bebé todos los días.
Aruwi allin kananpaqqa sumaqtam mituta saruna, manachayqa, chakirquspaqa iskukurqunmanmi.	Para que los adobes sean buenos, el barro debe ser pisado muy bien, de otro modo, una vez secos pueden desmoronarse.
Wak llaqtapiqa tukuy rikchaq mikuysi kan.	Dicen que en ese pueblo hay muchos tipos de alimento.
Asllam tiyanaykuna, ¿manachu manukuykuwankiman iskay-kimsata?.	No tengo sillas suficientes, ¿no podrías prestarme algunas?.
Kay warmaqa as watayuqllaraqmi llamkaypaqqa.	Este muchacho tiene aún pocos años para trabajar.
Astawan nanawachkan umay.	Mi cabeza me duele más.
Asichikuq willakuyta niwaptinmi asichkani.	Estoy riéndome porque me contó un chiste.
¿Imanasqaya wak warmiqa chaqcharayaspa qawamuwachakan?	¿Por qué será que esa mujer me está mirando riéndose?
¿Imanasqam raqaqaqankichik?, piñachiwachkankichik.	¿Por qué se rien fuertemente?, me están molestando.
Wak runa asipayawan sasachakuypi kaptiy.	Ese hombre se ríe de mí porque tengo dificultades.
Wak asiy-siki warmaqa imamantapas asichkanmi.	Ese muchacho reilón rie de cualquier cosa.
Asiypaq llamkaytam ruwarqusqanki.	Hiciste un trabajo que mueve a risa.
Wistuasnu sarata apan.	El burro cojo carga maíz.
Sapan warmillan llankan.	La mujer sola trabaja.
Sumaq sonqo taytayki.	Tu padre es de buen corazón.
Puñuysiki wayna sayariy.	Joven dormilón levántate.
Tikañawi sumaq sipas.	Bonita joven de ojos bellos.
Kurpamaki, allinta ruway.	Manos toscas, haz bien.
Mula aswankallpasapa.	La mula tiene más fuerza.
Ancha hatunsacha.	Arbol muy grande.
Qankuna takiriwaqchisraq.	Ustedes hubieren cantado.
Paykuna takirinkumanraq.	Ellos hubiesen cantado.
Takiy qan.	Canta tú.
Takichun pay.	Cante él.
Takiychis qankuna.	Canten ustedes.
Takichunku paykuna.	Canten ellos.
Pay takin sapa tutan.	El canta cada noche.
Qan takinki mayupi.	Tu cantas en el río.
Ñuqa Takini wasiypi.	Yo canto en mi casa.
Nishu takiqmi taytay.	Extremadamente canta mi padre.
Llapantin Abankay runakuna.	Todos los Abanquinos.
Qankunaq chakraykichis.	Vuestra chacra.
huk takiq.	un cantante.
wakin wallpakuna.	algunas de las gallinas.
pisi mikuna.	poca comida.
Pay sumaq runa.	El es buen hombre.
Qankuna suwakama kankichis.	Ustedes son ladrones.
Kayta ninaman churay.	Ésto pon al fuego.
Chayta haywamuway.	Alcánzame éso.
¿Pin payqa?	¿Quién es él?
¿Pikunan paykuna?	¿Quienes son ellos?
¿Imay wata?	¿Qué año?
¿Haykan watayki?	¿Cúantos años tienes?
¿Pikunan hamusqaku wasita?	¿Quienes habían venido a casa?
¿Imaman hamuranki?	¿A qué has venido?
Chay wasin ñuqapa.	Esa casa es mía.
Asnukunaqa sumaq kasukuq, ancha allin llamkaypi runa yanapaqmi.	Los burros son muy obedientes, muy buenos ayudantes del hombre en el trabajo.
Mana liyiy munaqkunaqa asnuyankum.	Aquellos que no leen se embrutecen.
Machu asnu runa, ama sinkaychu.	Hombre idiota, no te embriagues.
Wasinsi tuñirqun, chaysi mamanpa wasinman astakuchkan.	Dicen que su casa se derrumbó, por eso se está trasladando a la casa de su madre.
Tukuy rikchaq api ruwakunapaqmi ancha allin asukarqa.	El azúcar es muy buena para preparar diverso tipo de mazamorras.
Waknaña wayrawan sacha wichinayamuptinmi sikinmanta asurqani.	Porque el árbol parecía caerse con el intenso viento me retiré de su base.
Pirqaman asuykurqani llantukuq.	Me acerqué a la pared para ponerme a su sombra.
Asuykamuway, asuykamusqayki.	Acércate que me acercaré a ti.
Unquchkansi tayta Jacinto, asuykusunchik.	Dicen que el Señor Jacinto está enfermo, visitémosle.
Suyaway, niykuptiy, aswan kallpakun.	Cuando le dije que me esperára empezó a correr más.
Chuspipa atakachankunaqa suqtam.	Las patitas de las moscas son seis.
Ñawpaq ataka.	Patas delanteras.
Qipa ataka.	Patas traseras.
Tiyanaypa atakankunam pakirqusqa, ¿manachu allicharqapuwankiman?.	Las patas de mi silla se rompieron, ¿no podrías arreglármelas?.
Ñuqa atini runasimi rimayta.	Yo puedo hablar quechua.
Atipanakuchkanku sara hallmaypi.	Compiten en aporcar maíz.
Kay uywakunaqa atipakunku sara chakraman, sumaqta qawaychik.	Estos animales siempre insisten en irse a las chacras de maíz, deben vigilarlos bien.
Atispa mana atispapas.	Se pueda o no.
Atispaqa allinchiki kanqa, mana atispaqa, ¿imanachwantaq?.	Si se puede con mucho gusto, pero si no, ¿qué se puede hacer?.
Piluta haytay atipanakuyman risaq.	Iré al campeonato de fútbol.
Atuqkunaqa waska chupa, taka rinri, wallpa suwam kanku.	Los zorros tienen cola larga, orejas paradas y son ladrones de gallinas.
Atuq runa.	Hombre astuto.
Runtu-para sarata mastarqusqa.	La granizada destruyó el maizal.
Maryachaqa manas iskwilata rinchu.	Dicen que María no va a la escuela.
“Awqakunataqa kuyaywanmi atipanchik.” ninkutaq.	Dicen que: “Con amor se vence a los enemigos.”
¿Kanchu urqukuna llaqtaykipi?	¿Hay montañas en tu país?
Awriki, hatuchachaq urqukunam kan.	Sí, por supuesto, hay montañas enormes.
Aychaqa ancha allin mikunam; manataqmi waka aychataqa llumpayta mikunachu; challwa aychata, wallpa aychatam aswanta mikuna waka aychamantaqa.	La carne es un buen alimento pero no se debe comer mucha carne de vacuno, es mejor el pescado y carne de gallina que carne de vacuno.
Asnaq aycha.	Carne descompuesta.
Ñuqapa aylluykunaqa manam achkachu, hukllam churiy.	Mi familia no es numerosa, tengo sólo un hijo.
¿Aylluykichu tayta Jacinto?	¿Es tu pariente el Sr. Jacinto?
Arí, taytaypa wawqinmi.	Sí, es el hermano de mi papá.
Sapallan kaptinmi kay warmawan aylluchakurquniku hinaspa kuskaña yachaniku.	Nos hemos hecho parientes con este niño porque vivía solo y ahora vivimos en la misma casa.
Qayna wata aynikurqani tayta Maryanuta chakran llamkaypi; payñataqchá kanan wata aynikuykuwanqa.	El año pasado ayudé al Sr. Mariano; espero que ahora él me ayude.
Kutichipuypuni Pidruman chay llamkana aynikusqaykita, yapallapas aynikuwananchikpaq.	Devuélvele a Pedro esa herramienta que te prestó, así nos prestará otra vez en alguna otra oportunidad.
Llullakuspayki maqachiwarqanki, aynikusqaykim, manam hinallachu kanqa.	Mentiste y me hiciste castigar, yo haré lo mismo, esto no se quedará sin venganza.
Suwamanta tumpawarqanki, allinmi, aynillam kanqa.	Me culpaste de ladrón, muy bien, ya me desquitaré.
Huchakunamantaqa piña allqumanta hinam ayqini.	Huyo de los vicios como si fuera de perros rabiosos.
Aysasunchik kay kulluta chakrapa patanman.	Arrastremos este tronco al borde de la chacra.
Chay pacha mastana watuta sumaqta aysay.	Estira bien la cuerda que sirve para tender ropa.
Kuchiyta aysarqapullaway urquman.	Por favor, lleva mi cerdo al cerro.
Yakuta aysachkan chakran parqunanpaq.	Está conduciendo el agua para regar su chacra.
Puñuymi llumpayta aysawachkan, ustukamusaqña.	Me vence el sueño, ya me voy a la cama.
Imatapas hawantakamalla yakuta lluchkachispa pichay.	Limpiar algo haciendo correr agua por su superficie.
Allintam makiyta aywirqani ama unquy ratawananpaq.	Me lavé bien las manos para no contagiarme de ninguna enfermedad.
Wisuristuta chakatarqaku.	Crucificaron a Jesucristo.
Kuchita qaparkachachkaqta chakatarquspa lasaman aparqaku rantikuq.	Ataron a unos palos a un cerdo chillando y lo llevaron al mercado para venderlo.
Wawalláy, amañayá chakatawaychu kaynataña upyaspayki.	Hijo mío, no me atormentes bebiendo tanto.
Alliq chakiymi nanawachkan.	Me duele el pie derecho.
Chakitakllawan haytayqa sasam.	Es difícil hincar la tierra con el arado de pie.
Mana parquptinchik utaq mana paramuptinqa, rupaywanmi yurakuna chakirqunku.	Si no se riega o si no llueve, las plantas se secan con el calor del Sol.
Imapas ququ kasqanmanta mana yakuyuqman kutiy.	Secarse algo que estuvo húmedo.
Pachayta taqsarquspaymi hatun rumipa hawanman masaykurqani hinaptin mana chakirqachu tutayaykunankama mana inti kanchimuptin.	Luego de lavar mi ropa la tendí sobre una piedra pero no se secó hasta la noche porque el Sol no brilló.
Wak warmaqa kuyaywansi chakichkan, tulluyarqusqa.	Dicen que ese joven se está consumiendo por amor, se ha adelgazado.
Yarqa, mayu, qucha mana yakuyuq kay.	Perder el agua las acequias, ríos o lagos.
Manam waytayta atisunchikchu, chakirqunmi mayu, chay mayuqa paramuptillanmi yakuyuq.	No podremos nadar, el río se secó, ese río sólo tiene agua cuando llueve.
Uchuyniq tarpunapaq allpa.	Terreno de cultivo más o menos pequeño.
Chakraypi tarpuniku sarata sapa wata.	En mi chacra cultivamos maíz cada año.
Yunkata rispaymi chakrachamusaq inchik tarpunaypaq.	Iré a la selva y haré una chacra para cultivar maní.
Challwakunaqa yachanku mayupipas, quchapipas, mama quchapipas.	Los peces viven en los ríos, lagos o el océano.
Rantiramusaq challwata kanan punchaw mikunanchikpaq.	Voy a comprar pescado para comer hoy día.
Sarata chamchaykuychik chay chiwchikunaman qaranapaq.	Machaquen el maíz para alimentar a los pollitos.
Lliwa raki, sapintin, wiñasqan allpantin ima.	Un pedazo de césped conjuntamente con sus raíces y la tierra donde crece.
Champakunata qurqurqamusaq watya tullpanchik sumaq kirparqunanchikpaq.	Extraeré pedazos de grama para cubrir bien el horno de nuestra watya.
Rumi chamqaypi llallinakurqusunchik, pitaqsi aswan karukama chamqarqunqa.	Compitamos en tirar piedras, veámos quién las arrojará más lejos.
Chanin mikunata qaraykamuwarqa, chaymi saksasqa kachkani.	Me sirvió comida abundante, por eso estoy lleno.
Imapapas allin kaynin.	La utilidad justa de algo.
¿Haykataq chay wasipa chanin?	¿Cuánto cuesta esa casa?
Wak urquta wicharquptiymi chankaykuna pasaypaqta pisiparqurqa.	Cuando subí esa montaña mis piernas se cansaron completamente.
Sinka runakunaqa chankaykachaspam, wichiykunku.	Los borrachos caminan con pasos vacilantes y se caen.
Chaprakunaqa ancha allinmi nina ratachinapaq, chayllam ratan.	Las ramas secas son muy buenas para encender el fuego, empiezan muy rápidamente a echar llamas.
Chakraypa lliw muyuriqnintam chaqllachkaniku, ama animalkuna yaykurquspa tarpuyniykuna mikunanpaq.	Estamos haciendo una cerca alrededor de mi chacra para que los animales no entren y se coman mis plantíos.
Sumaq raku suquskunatam chaqllarqani chaywan wasiy qatachanaypaq.	Adocé buenos y gruesos carrizos para techar con ello mi casa.
Kawsasqanchik pachapiqa, hatun llaqtakunapiqa lliwmi chaqwan, karukunam sisi hina achka tukuyniqpi ratatatanku, wasi ukukunapim tiliwisyun qaparkachan, hanaq pachapim, awyunkuna, ilikuptirukuna tunrururun.	En esta época de nuestra vida, en las ciudades grandes, todo hace bulla, los carros, numerosos como las hormigas, en todas partes roncan, dentro de las casas la televisión grita, en los aires los aviones y los helicópteros truenan.
Sarallaytam allqukuna chaqwaparqusqaku, chuqllukuna kachunankupaq.	Los perros han destruído mi maizal para comer los choclos.
Rimaykullaykichik, taytaykuna, mamaykuna.	Buenas noches, señores y señoras.
Imapas qususqayki hapikuy.	Recibir lo que se te da.
Sumaq hatun apachikuta chaskirqani qayna punchaw.	Ayer recibí una encomienda grande y bonita.
Chaskirqani pachak intita pirqa ruwasqaymanta.	Recibí cien intis por la construcción de una pared.
Ullaskukunaqa chawa aychatam mikunku.	Los gallinazos comen carne cruda.
Ñawinchikpa chawpinpim ñawi-ruruqa.	La pupila está en el centro de nuestro ojo.
Chawpi punchawta samasun.	Descansaremos a medio día.
Imakunawanpas muyurisqa kaq.	Lo que está rodeado por otras cosas.
Llaqtayqa urqukunapa chawpinpim kachkan.	Mi pueblo está entre montañas.
Chawpi punchaw.	Medio día.
Chawpi tuta.	Media noche.
Muyuriqnin.	Perímetro.
Plasa muyuriqninpim achka wasikuna kan.	Hay muchas casas en el perímetro de la plaza.
Chay liwruqa ñuqapam.	Ese libro es mío.
Chayta munani.	Quiero ése.
Chaypim tiyasaq.	Me sentaré allí.
Chayman hamusaq.	Vendré allí.
Chaymanta rimamuy.	Habla de allí.
Chaykama chamqamusaq.	Tiraré hasta allí.
Chaymi chay, ama huktawan asnuman sillakunaykipaq.	Lo tienes merecido, para que no vuelvas a montarte en el burro.
Chay-chaypim kachkan siquyniykiqa, maskapaykuy.	Tus sandalias están por ahí, búscalas mejor.
Chaychayllamanmi awhataqa churaykurqani.	Puse la aguja por ahí nada más.
¿Pitaq chaychaymanta qaparimuchkan?	¿Quién grita de por allí?
